年度,月份,區域別,性別,總計,區域人人口數,原住民合計,平地原住民,山地原住民
110,1,馬公市,計,63195,62771,424,235,189
110,1,馬公市,男,32115,31903,212,116,96
110,1,馬公市,女,31080,30868,212,119,93
110,1,復興里,計,537,533,4,0,4
110,1,復興里,男,337,333,4,0,4
110,1,復興里,女,200,200,0,0,0
110,1,長安里,計,626,623,3,0,3
110,1,長安里,男,300,299,1,0,1
110,1,長安里,女,326,324,2,0,2
110,1,中央里,計,587,577,10,6,4
110,1,中央里,男,302,299,3,1,2
110,1,中央里,女,285,278,7,5,2
110,1,啟明里,計,972,967,5,1,4
110,1,啟明里,男,479,477,2,0,2
110,1,啟明里,女,493,490,3,1,2
110,1,重慶里,計,1072,1070,2,2,0
110,1,重慶里,男,541,540,1,1,0
110,1,重慶里,女,531,530,1,1,0
110,1,中興里,計,879,875,4,1,3
110,1,中興里,男,446,443,3,1,2
110,1,中興里,女,433,432,1,0,1
110,1,光復里,計,2178,2170,8,1,7
110,1,光復里,男,1039,1035,4,1,3
110,1,光復里,女,1139,1135,4,0,4
110,1,光榮里,計,4731,4697,34,10,24
110,1,光榮里,男,2246,2229,17,4,13
110,1,光榮里,女,2485,2468,17,6,11
110,1,光明里,計,1365,1359,6,5,1
110,1,光明里,男,686,682,4,3,1
110,1,光明里,女,679,677,2,2,0
110,1,朝陽里,計,6075,6037,38,27,11
110,1,朝陽里,男,2946,2926,20,14,6
110,1,朝陽里,女,3129,3111,18,13,5
110,1,陽明里,計,2796,2785,11,10,1
110,1,陽明里,男,1374,1369,5,5,0
110,1,陽明里,女,1422,1416,6,5,1
110,1,重光里,計,1709,1701,8,5,3
110,1,重光里,男,867,863,4,3,1
110,1,重光里,女,842,838,4,2,2
110,1,西衛里,計,7064,7016,48,26,22
110,1,西衛里,男,3572,3547,25,13,12
110,1,西衛里,女,3492,3469,23,13,10
110,1,西文里,計,4026,4007,19,13,6
110,1,西文里,男,2035,2025,10,8,2
110,1,西文里,女,1991,1982,9,5,4
110,1,東文里,計,4121,4102,19,12,7
110,1,東文里,男,2020,2012,8,5,3
110,1,東文里,女,2101,2090,11,7,4
110,1,案山里,計,2061,2032,29,25,4
110,1,案山里,男,1212,1195,17,16,1
110,1,案山里,女,849,837,12,9,3
110,1,光華里,計,1231,1186,45,19,26
110,1,光華里,男,732,706,26,11,15
110,1,光華里,女,499,480,19,8,11
110,1,前寮里,計,1108,1094,14,9,5
110,1,前寮里,男,574,568,6,4,2
110,1,前寮里,女,534,526,8,5,3
110,1,石泉里,計,3148,3123,25,14,11
110,1,石泉里,男,1556,1545,11,5,6
110,1,石泉里,女,1592,1578,14,9,5
110,1,菜園里,計,497,497,0,0,0
110,1,菜園里,男,260,260,0,0,0
110,1,菜園里,女,237,237,0,0,0
110,1,東衛里,計,2462,2451,11,3,8
110,1,東衛里,男,1282,1279,3,1,2
110,1,東衛里,女,1180,1172,8,2,6
110,1,安宅里,計,704,698,6,0,6
110,1,安宅里,男,363,361,2,0,2
110,1,安宅里,女,341,337,4,0,4
110,1,烏崁里,計,1179,1171,8,5,3
110,1,烏崁里,男,619,613,6,3,3
110,1,烏崁里,女,560,558,2,2,0
110,1,興仁里,計,1401,1392,9,3,6
110,1,興仁里,男,730,727,3,1,2
110,1,興仁里,女,671,665,6,2,4
110,1,鐵線里,計,721,706,15,8,7
110,1,鐵線里,男,355,346,9,4,5
110,1,鐵線里,女,366,360,6,4,2
110,1,山水里,計,1919,1916,3,2,1
110,1,山水里,男,992,992,0,0,0
110,1,山水里,女,927,924,3,2,1
110,1,鎖港里,計,2901,2882,19,11,8
110,1,鎖港里,男,1487,1481,6,3,3
110,1,鎖港里,女,1414,1401,13,8,5
110,1,五德里,計,481,475,6,6,0
110,1,五德里,男,318,313,5,5,0
110,1,五德里,女,163,162,1,1,0
110,1,井垵里,計,429,429,0,0,0
110,1,井垵里,男,220,220,0,0,0
110,1,井垵里,女,209,209,0,0,0
110,1,嵵裡里,計,1325,1321,4,2,2
110,1,嵵裡里,男,670,669,1,0,1
110,1,嵵裡里,女,655,652,3,2,1
110,1,風櫃里,計,1613,1605,8,7,1
110,1,風櫃里,男,835,831,4,3,1
110,1,風櫃里,女,778,774,4,4,0
110,1,虎井里,計,880,878,2,1,1
110,1,虎井里,男,505,503,2,1,1
110,1,虎井里,女,375,375,0,0,0
110,1,桶盤里,計,397,396,1,1,0
110,1,桶盤里,男,215,215,0,0,0
110,1,桶盤里,女,182,181,1,1,0
110,2,馬公市,計,63182,62757,425,237,188
110,2,馬公市,男,32102,31889,213,117,96
110,2,馬公市,女,31080,30868,212,120,92
110,2,復興里,計,535,531,4,0,4
110,2,復興里,男,333,329,4,0,4
110,2,復興里,女,202,202,0,0,0
110,2,長安里,計,626,623,3,0,3
110,2,長安里,男,299,298,1,0,1
110,2,長安里,女,327,325,2,0,2
110,2,中央里,計,590,580,10,6,4
110,2,中央里,男,303,300,3,1,2
110,2,中央里,女,287,280,7,5,2
110,2,啟明里,計,971,966,5,1,4
110,2,啟明里,男,479,477,2,0,2
110,2,啟明里,女,492,489,3,1,2
110,2,重慶里,計,1072,1070,2,2,0
110,2,重慶里,男,540,539,1,1,0
110,2,重慶里,女,532,531,1,1,0
110,2,中興里,計,882,878,4,1,3
110,2,中興里,男,448,445,3,1,2
110,2,中興里,女,434,433,1,0,1
110,2,光復里,計,2178,2170,8,1,7
110,2,光復里,男,1038,1034,4,1,3
110,2,光復里,女,1140,1136,4,0,4
110,2,光榮里,計,4733,4700,33,10,23
110,2,光榮里,男,2250,2233,17,4,13
110,2,光榮里,女,2483,2467,16,6,10
110,2,光明里,計,1358,1352,6,5,1
110,2,光明里,男,682,678,4,3,1
110,2,光明里,女,676,674,2,2,0
110,2,朝陽里,計,6066,6028,38,27,11
110,2,朝陽里,男,2947,2926,21,15,6
110,2,朝陽里,女,3119,3102,17,12,5
110,2,陽明里,計,2803,2792,11,10,1
110,2,陽明里,男,1377,1372,5,5,0
110,2,陽明里,女,1426,1420,6,5,1
110,2,重光里,計,1703,1695,8,5,3
110,2,重光里,男,866,862,4,3,1
110,2,重光里,女,837,833,4,2,2
110,2,西衛里,計,7052,7004,48,26,22
110,2,西衛里,男,3565,3541,24,13,11
110,2,西衛里,女,3487,3463,24,13,11
110,2,西文里,計,4033,4013,20,14,6
110,2,西文里,男,2038,2028,10,8,2
110,2,西文里,女,1995,1985,10,6,4
110,2,東文里,計,4130,4110,20,12,8
110,2,東文里,男,2020,2012,8,5,3
110,2,東文里,女,2110,2098,12,7,5
110,2,案山里,計,2061,2032,29,25,4
110,2,案山里,男,1214,1197,17,16,1
110,2,案山里,女,847,835,12,9,3
110,2,光華里,計,1236,1191,45,20,25
110,2,光華里,男,735,709,26,11,15
110,2,光華里,女,501,482,19,9,10
110,2,前寮里,計,1106,1092,14,9,5
110,2,前寮里,男,573,567,6,4,2
110,2,前寮里,女,533,525,8,5,3
110,2,石泉里,計,3150,3125,25,14,11
110,2,石泉里,男,1559,1547,12,5,7
110,2,石泉里,女,1591,1578,13,9,4
110,2,菜園里,計,498,498,0,0,0
110,2,菜園里,男,261,261,0,0,0
110,2,菜園里,女,237,237,0,0,0
110,2,東衛里,計,2450,2439,11,3,8
110,2,東衛里,男,1275,1272,3,1,2
110,2,東衛里,女,1175,1167,8,2,6
110,2,安宅里,計,705,699,6,0,6
110,2,安宅里,男,363,361,2,0,2
110,2,安宅里,女,342,338,4,0,4
110,2,烏崁里,計,1176,1168,8,5,3
110,2,烏崁里,男,618,612,6,3,3
110,2,烏崁里,女,558,556,2,2,0
110,2,興仁里,計,1398,1389,9,3,6
110,2,興仁里,男,730,727,3,1,2
110,2,興仁里,女,668,662,6,2,4
110,2,鐵線里,計,730,715,15,8,7
110,2,鐵線里,男,362,353,9,4,5
110,2,鐵線里,女,368,362,6,4,2
110,2,山水里,計,1914,1911,3,2,1
110,2,山水里,男,984,984,0,0,0
110,2,山水里,女,930,927,3,2,1
110,2,鎖港里,計,2902,2883,19,11,8
110,2,鎖港里,男,1488,1482,6,3,3
110,2,鎖港里,女,1414,1401,13,8,5
110,2,五德里,計,479,473,6,6,0
110,2,五德里,男,315,310,5,5,0
110,2,五德里,女,164,163,1,1,0
110,2,井垵里,計,429,429,0,0,0
110,2,井垵里,男,220,220,0,0,0
110,2,井垵里,女,209,209,0,0,0
110,2,嵵裡里,計,1327,1323,4,2,2
110,2,嵵裡里,男,671,670,1,0,1
110,2,嵵裡里,女,656,653,3,2,1
110,2,風櫃里,計,1605,1597,8,7,1
110,2,風櫃里,男,827,823,4,3,1
110,2,風櫃里,女,778,774,4,4,0
110,2,虎井里,計,885,883,2,1,1
110,2,虎井里,男,506,504,2,1,1
110,2,虎井里,女,379,379,0,0,0
110,2,桶盤里,計,399,398,1,1,0
110,2,桶盤里,男,216,216,0,0,0
110,2,桶盤里,女,183,182,1,1,0
110,3,馬公市,計,63182,62752,430,240,190
110,3,馬公市,男,32126,31911,215,118,97
110,3,馬公市,女,31056,30841,215,122,93
110,3,復興里,計,528,524,4,1,3
110,3,復興里,男,327,324,3,0,3
110,3,復興里,女,201,200,1,1,0
110,3,長安里,計,626,623,3,0,3
110,3,長安里,男,299,298,1,0,1
110,3,長安里,女,327,325,2,0,2
110,3,中央里,計,583,575,8,6,2
110,3,中央里,男,302,300,2,1,1
110,3,中央里,女,281,275,6,5,1
110,3,啟明里,計,974,969,5,1,4
110,3,啟明里,男,481,479,2,0,2
110,3,啟明里,女,493,490,3,1,2
110,3,重慶里,計,1067,1064,3,2,1
110,3,重慶里,男,538,536,2,1,1
110,3,重慶里,女,529,528,1,1,0
110,3,中興里,計,881,877,4,1,3
110,3,中興里,男,450,447,3,1,2
110,3,中興里,女,431,430,1,0,1
110,3,光復里,計,2180,2172,8,1,7
110,3,光復里,男,1039,1035,4,1,3
110,3,光復里,女,1141,1137,4,0,4
110,3,光榮里,計,4715,4678,37,13,24
110,3,光榮里,男,2243,2224,19,5,14
110,3,光榮里,女,2472,2454,18,8,10
110,3,光明里,計,1352,1347,5,5,0
110,3,光明里,男,682,679,3,3,0
110,3,光明里,女,670,668,2,2,0
110,3,朝陽里,計,6059,6020,39,28,11
110,3,朝陽里,男,2947,2926,21,15,6
110,3,朝陽里,女,3112,3094,18,13,5
110,3,陽明里,計,2810,2799,11,10,1
110,3,陽明里,男,1378,1373,5,5,0
110,3,陽明里,女,1432,1426,6,5,1
110,3,重光里,計,1692,1686,6,3,3
110,3,重光里,男,859,855,4,3,1
110,3,重光里,女,833,831,2,0,2
110,3,西衛里,計,7062,7015,47,25,22
110,3,西衛里,男,3566,3543,23,12,11
110,3,西衛里,女,3496,3472,24,13,11
110,3,西文里,計,4041,4021,20,14,6
110,3,西文里,男,2037,2027,10,8,2
110,3,西文里,女,2004,1994,10,6,4
110,3,東文里,計,4134,4111,23,12,11
110,3,東文里,男,2028,2018,10,5,5
110,3,東文里,女,2106,2093,13,7,6
110,3,案山里,計,2056,2027,29,25,4
110,3,案山里,男,1216,1199,17,16,1
110,3,案山里,女,840,828,12,9,3
110,3,光華里,計,1234,1188,46,20,26
110,3,光華里,男,730,704,26,11,15
110,3,光華里,女,504,484,20,9,11
110,3,前寮里,計,1111,1097,14,9,5
110,3,前寮里,男,572,566,6,4,2
110,3,前寮里,女,539,531,8,5,3
110,3,石泉里,計,3167,3142,25,14,11
110,3,石泉里,男,1577,1565,12,5,7
110,3,石泉里,女,1590,1577,13,9,4
110,3,菜園里,計,491,491,0,0,0
110,3,菜園里,男,259,259,0,0,0
110,3,菜園里,女,232,232,0,0,0
110,3,東衛里,計,2451,2440,11,3,8
110,3,東衛里,男,1278,1275,3,1,2
110,3,東衛里,女,1173,1165,8,2,6
110,3,安宅里,計,703,697,6,0,6
110,3,安宅里,男,362,360,2,0,2
110,3,安宅里,女,341,337,4,0,4
110,3,烏崁里,計,1183,1174,9,6,3
110,3,烏崁里,男,622,615,7,4,3
110,3,烏崁里,女,561,559,2,2,0
110,3,興仁里,計,1426,1417,9,3,6
110,3,興仁里,男,747,744,3,1,2
110,3,興仁里,女,679,673,6,2,4
110,3,鐵線里,計,732,717,15,8,7
110,3,鐵線里,男,364,355,9,4,5
110,3,鐵線里,女,368,362,6,4,2
110,3,山水里,計,1918,1915,3,2,1
110,3,山水里,男,985,985,0,0,0
110,3,山水里,女,933,930,3,2,1
110,3,鎖港里,計,2896,2877,19,11,8
110,3,鎖港里,男,1483,1477,6,3,3
110,3,鎖港里,女,1413,1400,13,8,5
110,3,五德里,計,478,472,6,6,0
110,3,五德里,男,316,311,5,5,0
110,3,五德里,女,162,161,1,1,0
110,3,井垵里,計,428,428,0,0,0
110,3,井垵里,男,222,222,0,0,0
