OCCU_DESC,WK_TYPE,CJOB_TYPE,CJOB_NAME1,CJOB_NO,CJOB_NAME2,AVAILREQNUM,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,SALARY_L,SALARY_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE,seg
"飯店空調工程與 機電維修人員【11/18(五)下午2-4時,西門站現場徵才活動】",全職,7,工程／研發／生技,70218,機電整合工程師,3,20230107,"1.繪製空調工程圖2.負責冷凍空調工程之工程3.負責空調、冷凍設備的檢修及保養【11/18(五)下午2-4時,西門站現場徵才活動】",台北市中山區,無,日班、夜班、中班,月薪,30000.0,33000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=152380&HIRE_ID=11571511,晶華國際酒店股份有限公司,20221107,"['飯店', '空調', '機電', '維修', '人員', '11', '18', '西門', '現場', '徵才', '活動', '下午', '工程']"
儲備幹部,全職,6,客服／門市,60203,專櫃／門市（人員／儲備幹部）,5,20221221,負責店舖經營管理，透由基礎店舖經營培訓歷練（如：銷售服務、店舖清潔、商品管理、人員管理等），後續快速晉升至副店長－店長－儲備幹部，未來更可晉升至高階主管,台北市不限,無,日班、夜班、中班,月薪,31000.0,35000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=105593&HIRE_ID=11533703,全家便利商店股份有限公司,20221021,['儲備幹部']
巴賽麗廳 La Brasserie-餐廳領班,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,2,額滿為止,負責餐飲場所的內外場聯繫、顧客菜單諮詢、點餐供餐及桌面環境清潔。,台北市中山區,無,日班、輪班二班制、中班,月薪,35000.0,40000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=95599&HIRE_ID=11529333,亞都麗緻大飯店股份有限公司,20221020,"['巴賽麗廳', 'La', 'Brasserie', '餐廳', '領班']"
環境管理顧問師,全職,9,品管／製造／環衛,90304,環境工程人員,3,額滿為止,1. ISO14001/45001系統規劃與工作推動 2.協助評估本社管理系統作業規劃3.主導外部認證及稽核，包含14001、45001系統與客戶稽核之安排與服務※具有ISO稽核相關經驗，可獨立作業尤佳。,台北市中正區,2年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2374573&HIRE_ID=11482081,有限責任臺北市資料處理勞動合作社,20220928,['環境管理顧問師']
教保員,全職,17,醫療／美容／保健,170113,照顧服務員,2,20221231,在社會福利機構、醫療機構或家庭，負責照顧病患之專業照護的工作。，,台北市北投區,無,日班,月薪,30000.0,35000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=444248&HIRE_ID=11474291,財團法人台北市私立陽明養護中心,20220923,['教保員']
業務代表,全職,2,業務／貿易／銷售,20102,業務人員,1,額滿為止,-	定期拜訪客戶，維繫與客戶關係-	國內業務接洽及訂單處理-	產品報價及產品銷售-	處理帳款相關事宜-	陌生業務開發，尋找潛在客戶-	有眼鏡相關知識及銷售經驗尤佳，，,台北市內湖區,無,日班,月薪,25250.0,70000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=306611&HIRE_ID=11454453,必富邑國際貿易有限公司,20221114,['業務代表']
店長,全職,6,客服／門市,60201,賣場主管/管理人員,1,額滿為止,收銀/貨品庫存盤點/行銷活動執行,台北市大同區,無,日班,月薪,30000.0,32000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2262719&HIRE_ID=11560473,利輝國際有限公司,20221111,['店長']
Jamba Juice _門市儲備幹部,全職,6,客服／門市,60203,專櫃／門市（人員／儲備幹部）,6,20221206,1.負責介紹及銷售門市商品。2.提供顧客之接待與需求服務（如：電話諮詢、調貨、修改、包裝及退換貨處理）。3.負責商品進貨入庫、銷售管理及庫存管理。4.負責商品包裝、陳列及促銷品換檔工作。5.維持店櫃周遭之整潔。6.教育訓練。7.門市經營管理。8.依各門市營業時間內排班(每日工時4小時，休息0.5小時),台北市不限,1年以上,日班、輪班二班制、中班,月薪,27500.0,,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1179753&HIRE_ID=11561161,荃鴻股份有限公司,20221102,"['Jamba', 'Juice', '門市', '儲備幹部']"
正職專櫃人員,全職,6,客服／門市,60203,專櫃／門市（人員／儲備幹部）,3,額滿為止,於專櫃、賣場或店面門市內提供商品介紹及銷售服務。，,台北市信義區,無,日班、中班,月薪,28000.0,50000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2432449&HIRE_ID=11455975,先豐國際股份有限公司,20220915,['正職專櫃人員']
餐務員,全職,16,旅遊／餐飲／休閒,160208,廚務清潔員,1,20321231,1.自動化洗滌設備操作與簡易故障排除 2.藥劑消耗品控管3.餐具保養維護 4.宴會外燴器皿準備與確保5.辦理主管交辦事務 6.具手排貨車駕照者尤佳     ,台北市大同區,1年以上,輪班二班制,月薪,30000.0,35000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2368745&HIRE_ID=11544627,雲品國際酒店股份有限公司台北分公司,20221026,['餐務員']
安裝組裝師父,全職,10,技術／維修／操作,100304,木製品技術人員,2,20231030,從事自動或半自動木工機器，如木、竹、藤等之鋸機、花刨機、鑽孔機、刨機、車床、作榫機、砂光機或NC機械、木雕機等之操作及監控工作。,台北市不限,無,日班,月薪,35000.0,40000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2309851&HIRE_ID=11025833,瑞展不銹鋼廚具有限公司,20220302,['安裝組裝師父']
辦公室環境清潔員（台北市各區）,全職,19,清潔／家事／托育(保母),190102,清潔工／資源回收人員,10,20321231,📢想要加入的夥伴我們並非只能短期打工，更希望長期配合，更可以彈性排班，當然我們希望你有下列條件：✅️準時出勤者✅️溝通能力佳✅️自備交通工具✅️能自行到客戶之公司行號服務我們會盡可能安排離夥伴較近距離的工作，都是以雙北市為主的服務案點，並至少提供20小時的班(每一案件至少2小時)🤗竭誠歡迎您一起加入🤗1️⃣有經驗最好，沒有我們也會安排培訓。2️⃣好同學好朋友兩人一組，課餘時間高薪兼職。3️⃣孩子上學，在家沒事打高薪兼職。4️⃣二度就業目前仍找不到好工作，高薪兼職。5️⃣及其他各路需要工作的夥伴💰培訓期間仍有180/時薪🔎工作內容：🙅不會讓你做🙅垃圾清運、動物排泄物處理、超過夥伴能負荷之重物搬運、對人體有害的環境（高溫、惡臭、強酸鹼具有毒物質的場所。🙆協助環境清潔管理🙆辦公區、洽談區、會議室、茶水間、廁所、陽台、窗戶等區域的清潔維護，並執行掃地、拖地、擦拭、除塵、刷洗、垃圾集中...等工作執行。,台北市南港區,無,日班,月薪,25250.0,25250.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2478629&HIRE_ID=11481215,滿馨事業有限公司,20221110,"['環境', '清潔員', '各區', '公室', '台北市']"
